protocol,training_seed,samples,base_accuracy,ablation_accuracy,delta_accuracy,base_errors,ablation_errors,discordant_errors,test_set_sha256
ablation_no_cutout_hardening_v2,1,1866,0.9994640943193998,0.9989281886387996,-0.000535905680600135,1,2,1,2e7bac3ea6f0a5ff1646b7bb6078545181de7fa18244fc8bdc4a7d6f9b628520
ablation_no_cutout_hardening_v2,2,1866,0.9989281886387996,0.9994640943193998,0.000535905680600135,2,1,1,2e7bac3ea6f0a5ff1646b7bb6078545181de7fa18244fc8bdc4a7d6f9b628520
ablation_no_cutout_hardening_v2,3,1866,0.9994640943193998,0.9989281886387996,-0.000535905680600135,1,2,1,2e7bac3ea6f0a5ff1646b7bb6078545181de7fa18244fc8bdc4a7d6f9b628520
ablation_no_cutout_hardening_v2,4,1866,0.9983922829581994,0.9989281886387996,0.000535905680600246,3,2,1,2e7bac3ea6f0a5ff1646b7bb6078545181de7fa18244fc8bdc4a7d6f9b628520
ablation_no_cutout_hardening_v2,5,1866,0.9994640943193998,0.9994640943193998,0.0,1,1,0,2e7bac3ea6f0a5ff1646b7bb6078545181de7fa18244fc8bdc4a7d6f9b628520
ablation_224_hardening_v2,1,1866,0.9994640943193998,0.9957127545551983,-0.0037513397642015,1,8,7,2e7bac3ea6f0a5ff1646b7bb6078545181de7fa18244fc8bdc4a7d6f9b628520
ablation_224_hardening_v2,2,1866,0.9989281886387996,0.9973204715969989,-0.001607717041800738,2,5,3,2e7bac3ea6f0a5ff1646b7bb6078545181de7fa18244fc8bdc4a7d6f9b628520
ablation_224_hardening_v2,3,1866,0.9994640943193998,0.9967845659163987,-0.002679528403001008,1,6,5,2e7bac3ea6f0a5ff1646b7bb6078545181de7fa18244fc8bdc4a7d6f9b628520
ablation_224_hardening_v2,4,1866,0.9983922829581994,0.9962486602357985,-0.002143622722400873,3,7,6,2e7bac3ea6f0a5ff1646b7bb6078545181de7fa18244fc8bdc4a7d6f9b628520
ablation_224_hardening_v2,5,1866,0.9994640943193998,0.9962486602357985,-0.003215434083601254,1,7,6,2e7bac3ea6f0a5ff1646b7bb6078545181de7fa18244fc8bdc4a7d6f9b628520
ablation_frozen_hardening_v2,1,1866,0.9994640943193998,0.9962486602357985,-0.003215434083601254,1,7,8,2e7bac3ea6f0a5ff1646b7bb6078545181de7fa18244fc8bdc4a7d6f9b628520
ablation_frozen_hardening_v2,2,1866,0.9989281886387996,0.9978563772775991,-0.001071811361200492,2,4,2,2e7bac3ea6f0a5ff1646b7bb6078545181de7fa18244fc8bdc4a7d6f9b628520
ablation_frozen_hardening_v2,3,1866,0.9994640943193998,0.9989281886387996,-0.000535905680600135,1,2,1,2e7bac3ea6f0a5ff1646b7bb6078545181de7fa18244fc8bdc4a7d6f9b628520
ablation_frozen_hardening_v2,4,1866,0.9983922829581994,0.9973204715969989,-0.001071811361200492,3,5,2,2e7bac3ea6f0a5ff1646b7bb6078545181de7fa18244fc8bdc4a7d6f9b628520
ablation_frozen_hardening_v2,5,1866,0.9994640943193998,0.9989281886387996,-0.000535905680600135,1,2,1,2e7bac3ea6f0a5ff1646b7bb6078545181de7fa18244fc8bdc4a7d6f9b628520
