protocol,method,both_correct,model_a_only,model_b_only,both_wrong,statistic,discordant,p_value_exact,p_value_holm,cnn_run_id
paper_random_hardening_v2,hog,1371,0,494,1,492.002024291498,494,3.910318545279494e-149,1.1730955635838482e-148,matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1
paper_random_hardening_v2,hsv_histogram,1596,1,269,0,264.03333333333336,270,2.856935642615472e-79,5.713871285230944e-79,matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1
paper_random_hardening_v2,imagenet_efficientnetv2b3,1808,0,57,1,55.01754385964912,57,1.3877787807814457e-17,1.3877787807814457e-17,matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1
paper_random_hardening_v2,phash,1173,0,692,1,690.0014450867052,692,9.733588819431218e-209,4.866794409715609e-208,matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1
paper_random_hardening_v2,pixels32,1220,0,645,1,643.0015503875969,645,1.369880843130252e-194,5.479523372521008e-194,matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1
transform_holdout_hardening_v2,hog,1244,0,0,0,0.0,0,1.0,1.0,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train1_split1_aug1
transform_holdout_hardening_v2,hsv_histogram,1214,0,30,0,28.033333333333335,30,1.862645149230957e-09,7.450580596923828e-09,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train1_split1_aug1
transform_holdout_hardening_v2,imagenet_efficientnetv2b3,1242,0,2,0,0.5,2,0.5,1.0,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train1_split1_aug1
transform_holdout_hardening_v2,phash,1156,0,88,0,86.01136363636364,88,6.462348535570529e-27,3.2311742677852644e-26,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train1_split1_aug1
transform_holdout_hardening_v2,pixels32,1242,0,2,0,0.5,2,0.5,1.0,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train1_split1_aug1
